,Close,High,Low,Open,Volume
2025-01-02,3.85,4.04,3.81,3.9,13828778.0
2025-01-03,3.68,3.89,3.65,3.87,15161782.0
2025-01-06,3.79,3.85,3.57,3.7,17742850.0
2025-01-07,3.79,3.8,3.67,3.77,13227632.0
2025-01-08,3.77,3.86,3.68,3.79,12595680.0
2025-01-09,3.75,3.81,3.72,3.75,8936060.0
2025-01-10,3.6,3.77,3.6,3.73,10651214.0
2025-01-13,3.63,3.64,3.5,3.58,8879181.0
2025-01-14,3.78,3.78,3.64,3.64,10706863.0
2025-01-15,3.74,3.82,3.71,3.81,7726950.0
2025-01-16,3.76,3.83,3.73,3.77,10030170.0
2025-01-17,3.77,3.8,3.72,3.77,8789200.0
2025-01-20,3.82,3.85,3.75,3.79,9117184.0
2025-01-21,3.75,3.85,3.73,3.82,10012187.0
2025-01-22,3.6,3.73,3.58,3.7,15456563.0
2025-01-23,3.64,3.73,3.63,3.63,13227938.0
2025-01-24,3.65,3.68,3.6,3.66,10245995.0
2025-01-27,3.66,3.76,3.66,3.69,11771645.0
2025-02-05,3.72,3.75,3.68,3.7,9323552.0
2025-02-06,3.74,3.75,3.65,3.74,13403889.0
2025-02-07,3.81,3.84,3.72,3.73,16865096.0
2025-02-10,3.89,3.9,3.82,3.85,13083134.0
2025-02-11,3.83,3.92,3.79,3.89,10345307.0
2025-02-12,3.84,3.85,3.79,3.81,9697317.0
2025-02-13,3.82,3.87,3.81,3.83,11133734.0
2025-02-14,3.87,3.91,3.8,3.8,19652080.0
2025-02-17,3.95,3.97,3.86,3.88,17060104.0
2025-02-18,3.81,3.95,3.78,3.94,17288562.0
2025-02-19,3.81,3.84,3.78,3.79,12801499.0
2025-02-20,3.86,3.9,3.81,3.81,12546829.0
2025-02-21,3.84,3.88,3.79,3.85,15845748.0
2025-02-24,3.85,3.91,3.82,3.84,11030485.0
2025-02-25,3.77,3.85,3.76,3.85,19482116.0
2025-02-26,3.82,3.83,3.77,3.77,12533416.0
2025-02-27,3.79,3.85,3.72,3.82,18879852.0
2025-02-28,3.71,3.81,3.7,3.78,12525214.0
2025-03-03,3.72,3.8,3.7,3.7,14608870.0
2025-03-04,3.75,3.75,3.7,3.73,7933863.0
2025-03-05,3.7,3.75,3.67,3.75,11510334.0
2025-03-06,3.75,3.77,3.69,3.71,11839089.0
2025-03-07,3.73,3.76,3.7,3.73,10594121.0
2025-03-10,3.78,3.82,3.74,3.74,13102823.0
2025-03-11,3.79,3.79,3.72,3.75,8006026.0
2025-03-12,3.8,3.81,3.76,3.8,11571249.0
2025-03-13,3.78,3.81,3.72,3.79,10798500.0
2025-03-14,3.87,3.88,3.76,3.78,19363696.0
2025-03-17,3.91,3.94,3.86,3.9,14855647.0
2025-03-18,3.88,3.93,3.86,3.9,8084393.0
2025-03-19,3.86,3.9,3.84,3.87,9812648.0
2025-03-20,3.9,3.96,3.85,3.88,18377436.0
2025-03-21,3.89,4.14,3.85,4.0,32941042.0
2025-03-24,3.75,3.92,3.7,3.86,25843064.0
2025-03-25,3.74,3.79,3.7,3.76,15912831.0
2025-03-26,3.83,3.85,3.73,3.75,19127342.0
2025-03-27,3.85,3.87,3.75,3.82,14827506.0
2025-03-28,3.8,3.89,3.79,3.85,13626235.0
2025-03-31,3.69,3.79,3.66,3.77,16085315.0
2025-04-01,3.85,3.9,3.7,3.7,27270092.0
2025-04-02,3.85,3.89,3.82,3.86,12293760.0
2025-04-03,3.89,3.91,3.81,3.81,14882177.0
2025-04-07,3.5,3.78,3.5,3.77,25103108.0
2025-04-08,3.39,3.53,3.33,3.44,24145948.0
2025-04-09,3.43,3.46,3.12,3.3,23259732.0
2025-04-10,3.54,3.57,3.43,3.43,18044472.0
2025-04-11,3.5,3.58,3.48,3.52,12705277.0
2025-04-14,3.59,3.63,3.53,3.55,12209068.0
2025-04-15,3.61,3.62,3.55,3.59,7548731.0
2025-04-16,3.53,3.6,3.47,3.6,10402183.0
2025-04-17,3.63,3.65,3.48,3.51,15669378.0
2025-04-18,3.59,3.66,3.54,3.63,9504700.0
2025-04-21,3.63,3.7,3.6,3.63,10200785.0
2025-04-22,3.67,3.69,3.61,3.61,10353416.0
2025-04-23,3.61,3.68,3.6,3.68,11458550.0
2025-04-24,3.61,3.66,3.57,3.62,10896354.0
2025-04-25,3.6,3.64,3.58,3.62,9190926.0
2025-04-28,3.51,3.61,3.49,3.61,9214326.0
2025-04-29,3.49,3.52,3.45,3.46,11701251.0
2025-04-30,3.49,3.55,3.49,3.5,7932060.0
2025-05-06,3.64,3.64,3.5,3.52,13220070.0
2025-05-07,3.67,3.7,3.64,3.67,11203066.0
2025-05-08,3.71,3.71,3.63,3.65,11306054.0
2025-05-09,3.71,3.78,3.66,3.71,15336927.0
2025-05-12,3.72,3.74,3.68,3.72,9983309.0
2025-05-13,3.72,3.75,3.7,3.74,8396615.0
2025-05-14,3.7,3.71,3.66,3.7,8515765.0
2025-05-15,3.73,3.76,3.65,3.68,11223811.0
2025-05-16,3.76,3.77,3.71,3.72,9759487.0
2025-05-19,3.82,3.83,3.72,3.76,14065466.0
2025-05-20,3.86,3.9,3.8,3.8,12864562.0
2025-05-21,3.81,3.86,3.79,3.81,18794588.0
2025-05-22,3.76,3.83,3.75,3.8,12567100.0
2025-05-23,3.72,3.83,3.68,3.76,15755948.0
2025-05-26,3.69,3.75,3.64,3.75,11201384.0
2025-05-27,3.81,3.98,3.67,3.68,36596712.0
2025-05-28,3.83,3.92,3.76,3.8,28979672.0
2025-05-29,3.87,3.91,3.78,3.82,22591264.0
2025-05-30,3.85,3.94,3.82,3.86,16675655.0
2025-06-03,3.97,4.01,3.82,3.82,29540948.0
2025-06-04,3.99,3.99,3.9,3.97,21848712.0
2025-06-05,3.97,4.01,3.93,3.99,20936372.0
2025-06-06,3.95,4.0,3.91,3.95,12937168.0
2025-06-09,4.0,4.03,3.95,3.95,16305268.0
2025-06-10,3.98,4.05,3.93,4.01,21757470.0
2025-06-11,3.98,4.02,3.95,3.98,12800645.0
2025-06-12,3.98,3.98,3.92,3.98,11375066.0
2025-06-13,3.86,3.99,3.84,3.97,14212705.0
2025-06-16,3.88,3.92,3.83,3.86,10244756.0
2025-06-17,3.86,3.95,3.84,3.89,13738336.0
2025-06-18,3.84,3.89,3.82,3.86,14121802.0
2025-06-19,3.71,3.86,3.7,3.84,14377415.0
2025-06-20,3.7,3.75,3.68,3.74,9397306.0
2025-06-23,3.74,3.77,3.64,3.67,9838346.0
2025-06-24,3.84,3.85,3.75,3.78,8889009.0
2025-06-25,3.85,3.87,3.8,3.85,10315831.0
2025-06-26,3.83,3.88,3.81,3.85,8703074.0
2025-06-27,3.85,3.9,3.83,3.86,9020768.0
2025-06-30,3.88,3.93,3.84,3.89,8710444.0
2025-07-01,3.9,3.93,3.85,3.88,12281180.0
2025-07-02,3.91,3.96,3.88,3.93,16161391.0
2025-07-03,3.96,3.98,3.89,3.91,13968053.0
2025-07-04,3.96,3.99,3.92,3.96,10374286.0
2025-07-07,3.97,3.99,3.93,3.93,10434800.0
2025-07-08,3.99,4.02,3.95,3.98,10459194.0
2025-07-09,3.98,4.01,3.96,3.99,9284769.0
2025-07-10,3.99,4.02,3.97,3.97,12638819.0
2025-07-11,4.0,4.02,3.95,4.0,10578573.0
2025-07-14,3.97,4.0,3.94,3.98,16530091.0
2025-07-15,3.91,3.99,3.83,3.97,17403972.0
2025-07-16,4.0,4.01,3.89,3.9,19586584.0
2025-07-17,4.02,4.04,3.98,4.01,12082738.0
2025-07-18,3.99,4.04,3.93,4.03,12130938.0
2025-07-21,4.05,4.08,3.95,3.99,15619376.0
2025-07-22,4.06,4.07,4.02,4.05,15072225.0
2025-07-23,4.0,4.07,3.98,4.05,14709986.0
2025-07-24,4.06,4.07,4.0,4.01,18486408.0
2025-07-25,4.06,4.09,4.04,4.06,17326048.0
2025-07-28,4.08,4.13,4.05,4.06,19452092.0
2025-07-29,4.15,4.15,4.01,4.1,25157072.0
2025-07-30,4.17,4.27,4.08,4.17,44373024.0
2025-07-31,4.23,4.25,4.15,4.15,37681244.0
2025-08-01,4.35,4.37,4.16,4.22,68077160.0
2025-08-04,4.35,4.38,4.27,4.34,46407680.0
2025-08-05,4.28,4.38,4.26,4.35,35833100.0
2025-08-06,4.18,4.33,4.16,4.3,35632412.0
2025-08-07,4.21,4.27,4.17,4.19,23790558.0
2025-08-08,4.22,4.25,4.08,4.21,21616638.0
2025-08-11,4.28,4.29,4.19,4.22,19287168.0
2025-08-12,4.23,4.33,4.18,4.28,15991997.0
2025-08-13,4.22,4.26,4.19,4.24,17559098.0
2025-08-14,4.11,4.23,4.1,4.23,21526496.0
2025-08-15,4.18,4.19,4.1,4.12,18904484.0
2025-08-18,4.2,4.23,4.16,4.19,19833394.0
2025-08-19,4.24,4.3,4.18,4.2,21228236.0
2025-08-20,4.25,4.26,4.18,4.23,16680555.0
2025-08-21,4.24,4.29,4.21,4.27,15322504.0
2025-08-22,4.18,4.25,4.14,4.23,17356592.0
2025-08-25,4.21,4.23,4.16,4.19,15226833.0
2025-08-26,4.24,4.29,4.18,4.2,13947814.0
2025-08-27,4.1,4.28,4.09,4.25,22697368.0
2025-08-28,4.04,4.15,3.92,4.09,17165998.0
2025-08-29,4.0,4.07,3.98,4.02,12819893.0
2025-09-01,4.05,4.07,3.93,3.98,14737164.0
2025-09-02,4.03,4.07,3.96,4.05,17703484.0
2025-09-03,3.96,4.07,3.93,4.05,13981229.0
2025-09-04,4.0,4.06,3.94,3.96,15657066.0
2025-09-05,4.0,4.03,3.91,4.0,12332186.0
2025-09-08,4.03,4.07,3.99,4.03,10502735.0
2025-09-09,3.99,4.04,3.97,4.02,10064809.0
2025-09-10,4.0,4.03,3.97,4.0,8770094.0
2025-09-11,4.01,4.02,3.91,4.0,13098566.0
2025-09-12,4.02,4.05,3.98,4.02,10194281.0
2025-09-15,4.05,4.06,3.99,4.01,10952248.0
2025-09-16,4.12,4.14,4.03,4.05,12924453.0
2025-09-17,4.1,4.13,4.05,4.13,11377669.0
2025-09-18,4.03,4.13,4.0,4.1,14743724.0
2025-09-19,3.94,4.04,3.89,4.02,14459311.0
2025-09-22,3.89,3.97,3.86,3.95,8582169.0
2025-09-23,3.77,3.89,3.67,3.89,16556329.0
2025-09-24,3.86,3.88,3.73,3.76,13781520.0
2025-09-25,3.82,3.91,3.79,3.85,11873299.0
2025-09-26,3.83,3.86,3.74,3.82,8257953.0
2025-09-29,3.83,3.85,3.73,3.8,14645697.0
2025-09-30,3.8,3.85,3.77,3.85,12435456.0
2025-10-09,3.75,3.81,3.73,3.8,12462949.0
2025-10-10,3.78,3.82,3.74,3.75,14741827.0
2025-10-13,3.78,3.79,3.63,3.74,12553000.0
2025-10-14,3.79,3.83,3.77,3.78,12268579.0
2025-10-15,3.82,3.86,3.77,3.79,11527009.0
2025-10-16,3.81,3.85,3.77,3.83,9714043.0
2025-10-17,3.8,3.87,3.79,3.8,11409317.0
2025-10-20,3.85,3.86,3.79,3.85,11722993.0
2025-10-21,3.99,3.99,3.84,3.86,15994463.0
2025-10-22,4.01,4.03,3.97,3.98,12531545.0
2025-10-23,4.02,4.04,3.95,4.0,11986192.0
2025-10-24,3.96,4.05,3.94,4.01,10111910.0
2025-10-27,3.96,4.0,3.91,4.0,10721262.0
2025-10-28,3.98,4.0,3.91,3.92,7696522.0
2025-10-29,3.93,3.98,3.86,3.98,10142511.0
2025-10-30,3.87,3.93,3.85,3.9,11132439.0
2025-10-31,3.97,3.98,3.86,3.87,15551470.0
2025-11-03,4.04,4.05,3.95,3.99,13749137.0
2025-11-04,4.06,4.06,4.01,4.04,11382696.0
2025-11-05,4.09,4.11,4.02,4.03,10999840.0
2025-11-06,4.07,4.11,4.02,4.1,8971086.0
2025-11-07,4.24,4.44,4.05,4.06,54158992.0
2025-11-10,4.33,4.43,4.2,4.39,61817768.0
2025-11-11,4.37,4.4,4.25,4.32,35967492.0
2025-11-12,4.32,4.42,4.3,4.37,26936256.0
2025-11-13,4.54,4.66,4.36,4.36,52491968.0
