,Close,High,Low,Open,Volume
2025-01-02,39.13,41.23,38.81,41.12,18036972.0
2025-01-03,38.63,39.31,38.38,39.13,12612011.0
2025-01-06,38.49,38.97,38.19,38.75,9928296.0
2025-01-07,38.26,38.53,37.98,38.46,8833620.0
2025-01-08,38.38,38.61,37.69,38.24,10663900.0
2025-01-09,37.81,38.46,37.73,38.23,7797028.0
2025-01-10,36.97,38.16,36.95,37.71,11091680.0
2025-01-13,36.74,36.95,36.35,36.76,11938211.0
2025-01-14,37.71,38.13,36.52,37.11,18557792.0
2025-01-15,37.46,37.91,37.16,37.53,10454965.0
2025-01-16,37.74,38.19,37.41,37.61,9261192.0
2025-01-17,38.37,38.81,37.17,37.71,13783662.0
2025-01-20,38.81,39.2,38.51,38.53,10679904.0
2025-01-21,38.96,39.33,38.43,38.97,8257589.0
2025-01-22,38.46,38.9,38.16,38.9,7713251.0
2025-01-23,40.41,41.26,39.23,39.24,28175076.0
2025-01-24,40.18,40.41,39.41,39.91,14704069.0
2025-01-27,39.91,40.79,39.68,40.3,15658511.0
2025-02-05,38.81,40.11,38.71,40.11,14430683.0
2025-02-06,39.41,39.45,38.47,38.82,14183856.0
2025-02-07,39.82,40.51,38.93,39.21,15315488.0
2025-02-10,39.6,40.06,39.47,39.83,8890776.0
2025-02-11,39.06,39.73,38.89,39.72,9352074.0
2025-02-12,39.5,39.54,38.8,39.0,8990794.0
2025-02-13,39.33,39.91,39.14,39.41,11609945.0
2025-02-14,39.86,40.28,39.03,39.3,11348155.0
2025-02-17,39.56,40.77,39.12,39.97,14374373.0
2025-02-18,39.12,40.05,38.99,39.36,14969637.0
2025-02-19,39.11,39.54,38.58,38.93,10697912.0
2025-02-20,38.39,39.11,38.03,38.91,11985204.0
2025-02-21,39.05,39.53,37.89,38.56,15165096.0
2025-02-24,39.3,39.86,38.7,39.02,14936140.0
2025-02-25,38.51,40.39,38.33,38.98,20435052.0
2025-02-26,39.08,39.28,38.49,38.5,11396490.0
2025-02-27,39.71,39.77,38.64,39.01,16596849.0
2025-02-28,38.22,39.91,38.22,39.51,15944621.0
2025-03-03,37.72,38.59,37.54,38.43,11292449.0
2025-03-04,37.48,37.73,37.34,37.62,10359671.0
2025-03-05,37.71,37.91,37.24,37.49,7875516.0
2025-03-06,38.56,38.7,37.53,37.93,14434547.0
2025-03-07,38.09,38.39,37.77,38.39,11742231.0
2025-03-10,37.12,37.91,36.68,37.89,21147468.0
2025-03-11,37.05,37.05,36.44,36.76,16475674.0
2025-03-12,36.75,37.19,36.51,37.05,14772902.0
2025-03-13,36.69,37.16,36.53,36.71,13794117.0
2025-03-14,38.87,39.1,36.63,36.7,39695560.0
2025-03-17,38.72,38.86,38.37,38.42,15122296.0
2025-03-18,38.41,39.01,38.32,38.85,10975170.0
2025-03-19,38.49,38.66,38.06,38.37,9323228.0
2025-03-20,37.27,38.51,37.13,38.49,18407376.0
2025-03-21,36.85,37.8,36.71,37.23,13641937.0
2025-03-24,37.11,37.26,36.75,36.86,12807257.0
2025-03-25,37.16,37.3,36.83,37.1,8777721.0
2025-03-26,37.1,37.45,36.78,37.06,14329843.0
2025-03-27,37.34,37.88,36.84,37.19,19080224.0
2025-03-28,37.09,37.65,37.01,37.35,12289443.0
2025-03-31,36.91,37.56,36.73,36.86,12070784.0
2025-04-01,36.7,37.0,36.5,36.91,12372361.0
2025-04-02,36.71,36.93,36.46,36.7,11723121.0
2025-04-03,36.65,36.98,36.22,36.45,11629154.0
2025-04-07,34.14,35.61,32.92,35.61,31926570.0
2025-04-08,35.05,35.11,33.53,33.72,25005852.0
2025-04-09,34.81,35.31,34.33,34.8,24184100.0
2025-04-10,35.2,35.41,34.82,35.19,17753422.0
2025-04-11,35.07,35.33,34.52,34.94,15865679.0
2025-04-14,35.19,35.34,34.96,35.07,10950324.0
2025-04-15,35.29,35.36,34.92,35.08,9785290.0
2025-04-16,35.61,35.66,34.97,35.35,10526254.0
2025-04-17,35.81,35.9,35.2,35.2,8439797.0
2025-04-18,35.74,35.97,35.61,35.71,7030973.0
2025-04-21,35.67,35.96,35.6,35.88,5329374.0
2025-04-22,35.91,36.26,35.53,35.57,8333960.0
2025-04-23,35.83,36.16,35.62,36.11,7193608.0
2025-04-24,36.16,36.63,35.76,35.9,12279063.0
2025-04-25,35.81,36.56,35.76,36.16,9087091.0
2025-04-28,35.7,35.89,35.29,35.78,8689732.0
2025-04-29,35.54,35.8,35.49,35.69,5443263.0
2025-04-30,35.62,36.37,35.57,35.89,10123386.0
2025-05-06,36.11,36.37,35.43,35.71,11549892.0
2025-05-07,36.88,37.3,36.52,37.01,15131352.0
2025-05-08,37.2,37.59,36.58,36.64,11706510.0
2025-05-09,36.95,37.2,36.86,37.2,6326629.0
2025-05-12,37.24,37.46,36.82,37.07,7672501.0
2025-05-13,37.26,37.46,37.09,37.4,7391016.0
2025-05-14,39.28,40.31,37.16,37.3,42388836.0
2025-05-15,38.63,39.23,38.49,38.72,12800391.0
2025-05-16,38.13,38.66,37.63,38.42,10998381.0
2025-05-19,37.62,37.97,37.52,37.81,8469708.0
2025-05-20,37.69,37.89,37.44,37.7,9258902.0
2025-05-21,37.84,38.31,37.62,37.69,10063100.0
2025-05-22,37.85,38.1,37.57,37.78,7484021.0
2025-05-23,37.32,38.07,37.17,37.78,9003151.0
2025-05-26,37.82,38.29,37.16,37.21,11963330.0
2025-05-27,37.86,38.47,37.73,37.81,7151943.0
2025-05-28,37.82,38.16,37.67,37.87,6655367.0
2025-05-29,37.81,38.02,37.63,37.83,6936020.0
2025-05-30,37.6,37.88,37.27,37.62,8751232.0
2025-06-03,38.1,38.41,37.37,37.49,9927650.0
2025-06-04,38.29,38.5,38.0,38.01,8080958.0
2025-06-05,39.07,39.23,38.06,38.29,15379020.0
2025-06-06,39.34,39.42,38.86,39.01,10477200.0
2025-06-09,39.09,39.69,38.85,39.44,8263932.0
2025-06-10,38.77,39.46,38.58,39.09,8770301.0
2025-06-11,39.99,40.29,38.78,38.78,17035044.0
