,Close,High,Low,Open,Volume
2025-01-02,38.78,40.88,37.97,38.2,5103691.0
2025-01-03,37.02,39.17,36.96,38.9,3746095.0
2025-01-06,34.38,36.79,34.17,36.79,4297104.0
2025-01-07,35.06,35.55,34.2,34.24,3540780.0
2025-01-08,35.17,35.76,33.55,34.85,3855752.0
2025-01-09,35.18,35.98,34.65,34.65,2628300.0
2025-01-10,33.32,35.57,33.32,35.02,2550545.0
2025-01-13,35.09,35.14,33.02,33.26,3676900.0
2025-01-14,36.5,36.77,35.09,35.09,3255400.0
2025-01-15,36.63,37.22,36.16,36.41,2127891.0
2025-01-16,36.92,37.41,36.1,36.7,2504400.0
2025-01-17,37.11,37.89,36.5,36.6,2634345.0
2025-01-20,37.65,38.1,37.21,37.4,2193002.0
2025-01-21,39.39,39.93,36.96,38.4,5421652.0
2025-01-22,39.04,39.77,38.6,38.8,3437779.0
2025-01-23,38.5,39.69,38.5,39.69,2450414.0
2025-01-24,38.63,38.96,37.8,38.51,2511924.0
2025-01-27,39.54,40.32,38.79,38.9,3328400.0
2025-02-05,38.42,40.44,38.03,39.9,2944636.0
2025-02-06,37.25,38.99,37.0,38.28,4415650.0
2025-02-07,37.9,38.38,36.82,37.06,3362542.0
2025-02-10,38.42,38.73,37.18,37.88,3017679.0
2025-02-11,38.82,40.6,38.1,38.5,3745821.0
2025-02-12,38.25,39.3,37.8,38.88,2580400.0
2025-02-13,37.93,38.86,37.74,38.22,2761300.0
2025-02-14,37.26,38.2,36.8,37.8,3568165.0
2025-02-17,37.46,37.64,36.55,37.12,3058027.0
2025-02-18,36.52,37.75,36.4,37.33,2383427.0
2025-02-19,37.55,37.66,36.06,36.53,2520016.0
2025-02-20,38.95,39.36,37.3,37.55,3554251.0
2025-02-21,39.34,40.3,38.2,38.5,3687867.0
2025-02-24,39.52,40.41,39.14,39.14,2395812.0
2025-02-25,38.84,39.71,38.65,39.28,1930500.0
2025-02-26,38.6,39.14,38.16,38.95,2608545.0
2025-02-27,41.64,41.88,38.6,38.66,6685662.0
2025-02-28,41.08,42.92,40.75,41.8,6245356.0
2025-03-03,41.6,43.59,40.98,41.09,6322930.0
2025-03-04,41.38,41.9,40.71,41.5,2831927.0
2025-03-05,41.55,41.86,40.81,41.7,2518700.0
2025-03-06,41.51,42.2,41.15,41.35,2819800.0
2025-03-07,41.24,42.74,40.81,41.51,3228971.0
2025-03-10,42.68,42.88,40.87,40.97,4156851.0
2025-03-11,41.97,43.09,40.8,42.07,2988920.0
2025-03-12,41.36,42.08,41.04,41.7,2449827.0
2025-03-13,40.91,41.89,40.42,41.22,1802972.0
2025-03-14,44.9,45.3,41.01,41.01,7672013.0
2025-03-17,44.5,45.15,43.83,44.8,4981408.0
2025-03-18,43.25,44.5,43.02,44.2,3083500.0
2025-03-19,42.67,43.19,42.35,43.08,2214764.0
2025-03-20,42.2,43.08,42.08,42.68,2196852.0
2025-03-21,42.14,43.33,41.76,42.08,2887252.0
2025-03-24,42.57,43.5,41.99,42.01,3013664.0
2025-03-25,41.46,43.0,40.9,42.67,2635800.0
2025-03-26,41.55,41.67,40.94,41.37,1455256.0
2025-03-27,41.54,42.34,41.01,41.41,1516430.0
2025-03-28,39.8,42.6,39.8,41.54,2829179.0
2025-03-31,40.4,40.92,39.07,39.3,2862955.0
2025-04-01,40.3,41.69,40.3,40.38,1634700.0
2025-04-02,40.8,41.55,40.2,40.3,1248600.0
2025-04-03,40.97,41.54,40.19,40.3,1357000.0
2025-04-07,39.6,40.4,35.75,38.26,3466733.0
2025-04-08,42.54,42.72,37.92,38.03,4970144.0
2025-04-09,42.34,43.19,40.08,41.72,3809564.0
2025-04-10,44.14,45.18,41.3,41.87,6242408.0
2025-04-11,42.98,43.89,42.74,43.74,3271100.0
2025-04-14,43.28,43.77,42.96,42.96,2896584.0
2025-04-15,43.67,46.69,42.18,43.67,6701784.0
2025-04-16,45.67,46.45,42.95,43.27,9206536.0
2025-04-17,47.29,48.28,43.88,44.7,11887271.0
2025-04-18,42.43,46.83,42.3,46.45,9934632.0
2025-04-21,41.1,42.07,40.44,41.6,8676972.0
2025-04-22,40.07,41.0,39.36,41.0,6385768.0
2025-04-23,38.92,40.25,38.79,40.18,6116611.0
2025-04-24,38.72,39.24,38.23,38.9,4803588.0
2025-04-25,38.75,39.43,38.53,38.66,4041115.0
2025-04-28,36.48,38.85,36.06,38.77,6058387.0
2025-04-29,42.42,43.57,38.92,39.3,15968966.0
2025-04-30,43.37,44.56,41.3,41.58,9553058.0
2025-05-06,43.33,43.77,42.3,43.28,6381127.0
2025-05-07,43.53,44.27,43.21,43.4,4455540.0
2025-05-08,43.7,44.0,42.84,43.3,3380642.0
2025-05-09,45.37,45.73,43.34,43.38,7357707.0
2025-05-12,45.57,46.7,44.91,44.97,5699664.0
2025-05-13,45.6,46.1,44.95,45.9,3386300.0
2025-05-14,45.8,46.2,44.78,45.58,2756546.0
2025-05-15,46.6,47.4,45.56,45.64,3954839.0
2025-05-16,49.23,49.5,46.07,46.28,5956205.0
2025-05-19,52.44,55.3,49.51,49.8,9777085.0
2025-05-20,53.3,54.98,52.25,53.16,7794928.0
