,Close,High,Low,Open,Volume
2025-01-02,5.91,6.23,5.86,6.16,23718160.0
2025-01-03,5.92,6.08,5.89,5.92,19655200.0
2025-01-06,6.18,6.19,5.85,5.89,24854000.0
2025-01-07,6.17,6.21,6.07,6.2,16021905.0
2025-01-08,5.99,6.15,5.93,6.15,17842730.0
2025-01-09,5.95,6.0,5.9,5.96,10024948.0
2025-01-10,5.83,5.99,5.82,5.96,15371900.0
2025-01-13,5.92,5.97,5.76,5.79,11893600.0
2025-01-14,6.11,6.24,5.88,5.92,35958236.0
2025-01-15,6.03,6.16,6.0,6.1,26894848.0
2025-01-16,6.02,6.14,6.01,6.04,22933900.0
2025-01-17,5.95,6.15,5.95,6.01,24855700.0
2025-01-20,5.95,6.0,5.88,5.99,25712564.0
2025-01-21,5.96,6.0,5.87,5.96,23006278.0
2025-01-22,5.92,6.0,5.86,5.92,27640508.0
2025-01-23,5.93,6.01,5.92,5.95,19112800.0
2025-01-24,6.03,6.04,5.87,5.93,19595036.0
2025-01-27,6.03,6.13,6.02,6.02,16216919.0
2025-02-05,5.97,6.08,5.94,6.07,10575551.0
2025-02-06,5.98,5.99,5.93,5.96,10860491.0
2025-02-07,6.22,6.24,6.03,6.06,31744320.0
2025-02-10,6.14,6.22,6.12,6.2,13372908.0
2025-02-11,6.12,6.16,6.07,6.15,10165301.0
2025-02-12,6.26,6.27,6.09,6.1,17496550.0
2025-02-13,6.18,6.31,6.17,6.26,18019300.0
2025-02-14,6.15,6.2,6.1,6.18,11364496.0
2025-02-17,6.08,6.15,6.05,6.15,13957737.0
2025-02-18,6.0,6.1,5.97,6.09,14515215.0
2025-02-19,6.03,6.05,5.94,5.99,20459614.0
2025-02-20,5.95,6.21,5.94,6.01,36654400.0
2025-02-21,5.94,6.0,5.93,5.97,16366844.0
2025-02-24,5.96,6.0,5.93,5.96,14614126.0
2025-02-25,5.93,5.97,5.9,5.94,9496714.0
2025-02-26,5.98,5.98,5.92,5.92,10045413.0
2025-02-27,6.11,6.15,5.95,5.97,41177288.0
2025-02-28,6.14,6.26,6.02,6.12,54043312.0
2025-03-03,6.0,6.29,5.97,6.12,43513952.0
2025-03-04,5.97,6.02,5.92,6.02,14201780.0
2025-03-05,5.95,5.99,5.92,5.98,10454462.0
2025-03-06,6.07,6.08,5.94,5.96,20124248.0
2025-03-07,6.07,6.13,6.01,6.03,15791629.0
2025-03-10,6.11,6.33,6.0,6.06,46043664.0
2025-03-11,6.09,6.13,5.98,6.05,28068346.0
2025-03-12,6.04,6.12,6.03,6.09,13346377.0
2025-03-13,6.01,6.05,5.97,6.02,10911147.0
2025-03-14,6.05,6.05,5.98,6.0,13000492.0
2025-03-17,6.04,6.07,6.03,6.06,10552230.0
2025-03-18,6.04,6.06,6.02,6.04,10023504.0
2025-03-19,5.99,6.04,5.97,6.03,12803810.0
2025-03-20,5.99,6.01,5.97,5.98,6738051.0
2025-03-21,5.96,6.03,5.93,5.99,12763886.0
2025-03-24,5.95,5.97,5.91,5.94,13911145.0
2025-03-25,6.02,6.02,5.94,5.95,12555575.0
2025-03-26,6.01,6.07,5.98,6.01,11645735.0
2025-03-27,6.04,6.07,5.98,6.02,10017812.0
2025-03-28,5.97,6.04,5.95,6.03,10803017.0
2025-03-31,5.93,5.98,5.86,5.95,17316668.0
2025-04-01,5.93,5.96,5.92,5.92,6265467.0
2025-04-02,5.92,5.95,5.91,5.91,6683300.0
2025-04-03,5.93,5.94,5.87,5.89,9605192.0
2025-04-07,5.65,5.75,5.35,5.71,38525100.0
2025-04-08,5.9,5.91,5.58,5.61,28370836.0
2025-04-09,5.78,5.82,5.73,5.82,13860464.0
2025-04-10,5.78,5.88,5.77,5.8,10299020.0
2025-04-11,5.78,5.81,5.73,5.73,6437860.0
2025-04-14,5.79,5.82,5.77,5.81,5886878.0
2025-04-15,5.79,5.81,5.76,5.78,5567412.0
2025-04-16,5.78,5.79,5.7,5.78,6670008.0
2025-04-17,5.77,5.82,5.75,5.76,4323400.0
2025-04-18,5.82,5.85,5.76,5.77,3774600.0
2025-04-21,5.8,5.84,5.79,5.82,3554158.0
2025-04-22,5.8,5.82,5.78,5.78,4586322.0
2025-04-23,5.76,5.83,5.75,5.81,5589189.0
2025-04-24,5.78,5.8,5.73,5.77,5494807.0
2025-04-25,5.8,5.85,5.78,5.79,5732492.0
2025-04-28,5.76,5.82,5.75,5.82,4628697.0
2025-04-29,6.0,6.01,5.73,5.74,23223906.0
2025-04-30,5.99,6.03,5.89,5.99,13052743.0
2025-05-06,5.97,6.01,5.92,6.0,7775997.0
2025-05-07,5.97,6.01,5.94,6.0,7153001.0
2025-05-08,5.94,5.99,5.94,5.97,6246324.0
2025-05-09,5.92,5.96,5.89,5.95,6297128.0
2025-05-12,5.93,5.97,5.92,5.96,5102438.0
2025-05-13,5.94,5.97,5.92,5.97,6110223.0
2025-05-14,5.99,6.0,5.94,5.96,9701258.0
2025-05-15,6.0,6.04,5.96,5.97,10281702.0
2025-05-16,5.92,6.02,5.92,6.01,7773664.0
2025-05-19,5.93,5.96,5.9,5.92,5004043.0
2025-05-20,5.94,5.97,5.91,5.96,4800920.0
2025-05-21,5.93,5.97,5.93,5.94,4250865.0
2025-05-22,5.89,5.93,5.88,5.93,5333585.0
2025-05-23,5.88,5.94,5.87,5.89,5417903.0
2025-05-26,5.93,5.96,5.84,5.88,11930056.0
2025-05-27,5.94,5.95,5.9,5.95,4741099.0
2025-05-28,5.97,6.03,5.93,5.94,11076592.0
2025-05-29,5.97,6.05,5.94,5.97,10766525.0
2025-05-30,5.91,5.97,5.91,5.95,7686010.0
2025-06-03,5.99,5.99,5.91,5.92,8858100.0
2025-06-04,5.98,6.01,5.97,5.99,5591879.0
2025-06-05,5.94,5.99,5.94,5.98,4254992.0
2025-06-06,5.96,5.99,5.95,5.95,3939777.0
2025-06-09,5.97,6.0,5.95,5.96,5029100.0
2025-06-10,5.94,6.0,5.92,5.99,6393439.0
2025-06-11,5.94,5.98,5.93,5.93,4676834.0
2025-06-12,5.96,5.97,5.92,5.95,5406630.0
2025-06-13,6.0,6.1,5.99,6.01,28454604.0
2025-06-16,5.94,6.08,5.94,6.06,12981480.0
2025-06-17,5.93,5.95,5.91,5.94,6669232.0
2025-06-18,5.92,5.98,5.91,5.94,5877800.0
2025-06-19,5.93,5.95,5.89,5.92,7798708.0
2025-06-20,5.93,5.95,5.9,5.93,7410924.0
2025-06-23,5.98,5.99,5.93,5.98,7617920.0
2025-06-24,5.95,5.99,5.93,5.97,8676200.0
2025-06-25,5.98,5.99,5.94,5.96,8183702.0
2025-06-26,5.97,5.99,5.96,5.98,6846640.0
2025-06-27,5.94,6.01,5.94,5.98,10675808.0
2025-06-30,5.83,5.95,5.83,5.94,19286776.0
2025-07-01,5.83,5.86,5.8,5.83,8125342.0
2025-07-02,5.85,5.86,5.81,5.84,8591110.0
2025-07-03,5.85,5.87,5.84,5.86,8046582.0
2025-07-04,5.81,5.86,5.8,5.86,10634751.0
2025-07-07,5.8,5.81,5.77,5.8,7456482.0
2025-07-08,5.82,5.84,5.78,5.79,9296144.0
2025-07-09,5.81,5.84,5.81,5.83,7618582.0
2025-07-10,5.88,5.89,5.8,5.81,12320852.0
2025-07-11,5.88,5.91,5.86,5.89,9736070.0
2025-07-14,5.85,5.9,5.85,5.88,8727456.0
2025-07-15,5.78,5.86,5.77,5.85,11408746.0
2025-07-16,5.76,5.8,5.75,5.77,10252860.0
2025-07-17,5.77,5.78,5.75,5.77,7357125.0
2025-07-18,5.85,5.86,5.77,5.78,13372321.0
2025-07-21,5.98,6.02,5.85,5.9,25228536.0
2025-07-22,6.14,6.15,5.95,5.98,26479636.0
2025-07-23,6.11,6.22,6.09,6.18,22064844.0
2025-07-24,6.14,6.17,6.07,6.12,17392800.0
2025-07-25,6.13,6.22,6.12,6.17,15021089.0
2025-07-28,6.05,6.11,6.02,6.11,13195198.0
2025-07-29,6.04,6.08,5.95,6.04,11509182.0
2025-07-30,6.14,6.21,6.0,6.03,21291668.0
2025-07-31,5.94,6.11,5.92,6.1,21304892.0
2025-08-01,5.94,5.98,5.92,5.94,8473730.0
2025-08-04,5.92,5.94,5.89,5.92,8273312.0
2025-08-05,5.94,5.95,5.91,5.93,7953943.0
2025-08-06,5.94,5.98,5.9,5.93,8998122.0
2025-08-07,5.9,5.96,5.88,5.94,9374400.0
2025-08-08,5.92,5.95,5.89,5.9,7252552.0
2025-08-11,5.95,5.96,5.89,5.94,9018683.0
2025-08-12,5.95,5.97,5.92,5.95,7982600.0
2025-08-13,5.93,5.97,5.9,5.95,13067552.0
2025-08-14,5.85,5.94,5.84,5.93,13324000.0
2025-08-15,6.04,6.05,5.85,5.86,27480144.0
2025-08-18,6.13,6.13,6.01,6.06,24564692.0
2025-08-19,6.0,6.16,5.99,6.12,23102500.0
2025-08-20,6.19,6.2,5.97,6.03,37133888.0
2025-08-21,6.23,6.31,6.14,6.18,30230432.0
2025-08-22,6.3,6.31,6.21,6.24,24783804.0
2025-08-25,6.33,6.47,6.27,6.29,35738968.0
2025-08-26,6.44,6.59,6.3,6.34,34488448.0
2025-08-27,6.29,6.52,6.25,6.43,23232024.0
2025-08-28,6.37,6.39,6.2,6.25,22277102.0
2025-08-29,6.44,6.46,6.33,6.37,23166630.0
2025-09-01,6.5,6.58,6.35,6.49,26580252.0
2025-09-02,6.41,6.53,6.36,6.49,17477536.0
2025-09-03,6.3,6.44,6.27,6.41,16297625.0
