,Close,High,Low,Open,Volume
2025-01-02,4.9,5.09,4.86,5.04,267809552.0
2025-01-03,4.88,4.93,4.79,4.9,230171632.0
2025-01-06,4.92,4.94,4.74,4.88,228566592.0
2025-01-07,4.99,5.01,4.87,4.92,185805200.0
2025-01-08,5.05,5.09,4.96,4.99,225653504.0
2025-01-09,4.99,5.05,4.94,5.04,164478112.0
2025-01-10,4.98,5.01,4.9,5.0,164200864.0
2025-01-13,4.88,4.98,4.83,4.94,185774144.0
2025-01-14,4.96,4.97,4.88,4.89,157752816.0
2025-01-15,4.98,5.08,4.94,4.96,196107776.0
2025-01-16,5.01,5.03,4.95,5.0,129091336.0
2025-01-17,4.98,5.04,4.97,5.01,126339768.0
2025-01-20,4.94,5.0,4.93,4.99,131338080.0
2025-01-21,4.94,4.97,4.89,4.95,121086312.0
2025-01-22,4.84,4.95,4.83,4.95,174116672.0
2025-01-23,4.99,5.0,4.87,4.89,245875728.0
2025-01-24,4.96,5.01,4.91,4.99,139969776.0
2025-01-27,5.1,5.14,4.97,4.97,231212288.0
2025-02-05,4.97,5.12,4.96,5.11,215563792.0
2025-02-06,4.95,5.01,4.92,4.98,163336512.0
2025-02-07,4.93,4.95,4.89,4.95,201406016.0
2025-02-10,4.92,4.96,4.9,4.92,153186640.0
2025-02-11,5.03,5.03,4.92,4.93,207721552.0
2025-02-12,5.05,5.07,4.98,5.03,150845248.0
2025-02-13,5.06,5.09,5.02,5.03,148043104.0
2025-02-14,5.06,5.08,5.01,5.06,150428832.0
2025-02-17,5.09,5.1,5.01,5.07,151483440.0
2025-02-18,5.21,5.23,5.07,5.07,249119088.0
2025-02-19,5.18,5.25,5.16,5.18,173347648.0
2025-02-20,5.2,5.23,5.16,5.17,145796176.0
2025-02-21,5.11,5.21,5.1,5.2,245166768.0
2025-02-24,5.06,5.15,5.04,5.11,237696880.0
2025-02-25,5.01,5.09,4.98,5.07,252435872.0
2025-02-26,5.06,5.07,4.99,5.0,176546304.0
2025-02-27,5.08,5.1,4.99,5.05,218928336.0
2025-02-28,5.05,5.12,5.05,5.07,204479024.0
2025-03-03,5.07,5.09,4.97,5.06,242406624.0
2025-03-04,5.03,5.09,5.02,5.06,149783104.0
2025-03-05,5.12,5.14,5.01,5.03,251576464.0
2025-03-06,5.09,5.12,5.05,5.11,168412608.0
2025-03-07,5.06,5.11,5.06,5.09,135260624.0
2025-03-10,5.02,5.07,5.0,5.06,158931472.0
2025-03-11,5.04,5.04,4.99,5.01,163293744.0
2025-03-12,4.98,5.03,4.98,5.02,145097504.0
2025-03-13,4.98,5.01,4.97,4.98,146099312.0
2025-03-14,5.01,5.03,4.97,4.99,190656544.0
2025-03-17,5.02,5.04,4.99,5.01,150743952.0
2025-03-18,5.02,5.04,4.99,5.03,145667296.0
2025-03-19,5.08,5.09,5.01,5.03,198275312.0
2025-03-20,5.07,5.11,5.03,5.08,130824616.0
2025-03-21,5.01,5.09,5.0,5.06,159260544.0
2025-03-24,5.05,5.08,5.01,5.01,166988160.0
2025-03-25,5.13,5.13,5.04,5.05,180797792.0
2025-03-26,5.13,5.15,5.08,5.12,128176224.0
2025-03-27,5.18,5.18,5.09,5.12,169445472.0
2025-03-28,5.15,5.18,5.14,5.18,126474064.0
2025-03-31,5.25,5.29,5.11,5.19,303957312.0
2025-04-01,5.17,5.28,5.15,5.25,212101280.0
2025-04-02,5.24,5.26,5.15,5.15,160078864.0
2025-04-03,5.31,5.31,5.2,5.2,168446176.0
2025-04-07,5.09,5.28,4.94,5.23,458647776.0
2025-04-08,5.12,5.14,5.03,5.05,383322880.0
2025-04-09,5.06,5.14,5.03,5.1,330911104.0
2025-04-10,5.03,5.08,5.01,5.08,298046144.0
2025-04-11,5.07,5.07,5.01,5.04,216407776.0
2025-04-14,5.13,5.15,5.05,5.07,233699984.0
2025-04-15,5.23,5.25,5.12,5.12,243186752.0
2025-04-16,5.31,5.31,5.2,5.23,296744000.0
2025-04-17,5.31,5.31,5.22,5.3,174213728.0
2025-04-18,5.33,5.37,5.29,5.29,174302576.0
2025-04-21,5.28,5.47,5.27,5.33,242958224.0
2025-04-22,5.38,5.41,5.29,5.3,227208576.0
2025-04-23,5.36,5.42,5.33,5.39,167061616.0
2025-04-24,5.48,5.49,5.36,5.36,248785040.0
2025-04-25,5.43,5.53,5.4,5.52,276692800.0
2025-04-28,5.48,5.51,5.43,5.44,213439008.0
2025-04-29,5.47,5.51,5.44,5.49,147505968.0
2025-04-30,5.3,5.47,5.28,5.45,311040640.0
2025-05-06,5.26,5.32,5.22,5.32,249548736.0
2025-05-07,5.39,5.4,5.24,5.29,320530176.0
2025-05-08,5.37,5.43,5.36,5.37,176393328.0
2025-05-09,5.42,5.46,5.36,5.37,207561744.0
2025-05-12,5.4,5.44,5.34,5.42,244170304.0
2025-05-13,5.44,5.46,5.35,5.4,217997888.0
2025-05-14,5.45,5.49,5.4,5.42,223524208.0
2025-05-15,5.44,5.5,5.43,5.46,186326208.0
2025-05-16,5.4,5.46,5.36,5.44,247433120.0
2025-05-19,5.38,5.43,5.38,5.4,152971392.0
