,Close,High,Low,Open,Volume
2025-01-02,4.37,4.55,4.33,4.49,10840900.0
2025-01-03,4.19,4.4,4.17,4.38,12680542.0
2025-01-06,4.24,4.27,4.05,4.19,9844270.0
2025-01-07,4.31,4.33,4.2,4.24,8355641.0
2025-01-08,4.32,4.34,4.2,4.3,8919932.0
2025-01-09,4.3,4.32,4.26,4.31,5507200.0
2025-01-10,4.19,4.31,4.19,4.28,7005152.0
2025-01-13,4.21,4.22,4.09,4.16,6137873.0
2025-01-14,4.33,4.34,4.21,4.21,8236500.0
2025-01-15,4.34,4.39,4.3,4.36,5921000.0
2025-01-16,4.39,4.4,4.32,4.36,7874450.0
2025-01-17,4.39,4.4,4.33,4.36,5039250.0
2025-01-20,4.46,4.47,4.36,4.41,10471900.0
2025-01-21,4.37,4.47,4.35,4.47,6556700.0
2025-01-22,4.35,4.38,4.32,4.37,6496871.0
2025-01-23,4.4,4.47,4.38,4.38,9231700.0
2025-01-24,4.42,4.47,4.32,4.4,11473970.0
2025-01-27,4.53,4.55,4.41,4.43,11452367.0
2025-02-05,4.42,4.58,4.4,4.56,12965201.0
2025-02-06,4.43,4.45,4.36,4.42,11722249.0
2025-02-07,4.44,4.48,4.4,4.41,13716809.0
2025-02-10,4.5,4.51,4.44,4.44,9192909.0
2025-02-11,4.51,4.53,4.46,4.51,8664770.0
2025-02-12,4.48,4.54,4.44,4.49,9642900.0
2025-02-13,4.43,4.5,4.42,4.46,7292011.0
2025-02-14,4.38,4.43,4.36,4.42,7824419.0
2025-02-17,4.45,4.45,4.36,4.36,8540400.0
2025-02-18,4.35,4.46,4.32,4.45,8891041.0
2025-02-19,4.35,4.37,4.32,4.35,7138300.0
2025-02-20,4.35,4.38,4.3,4.34,7684000.0
2025-02-21,4.32,4.36,4.3,4.34,7394010.0
2025-02-24,4.39,4.47,4.32,4.33,12906511.0
2025-02-25,4.34,4.41,4.33,4.4,6902000.0
2025-02-26,4.8,4.8,4.35,4.38,19313472.0
2025-02-27,4.62,4.8,4.56,4.74,51421484.0
2025-02-28,4.58,4.68,4.57,4.59,33353734.0
2025-03-03,4.52,4.64,4.5,4.62,26973906.0
2025-03-04,4.55,4.56,4.48,4.5,16248291.0
2025-03-05,4.54,4.55,4.45,4.55,15380726.0
2025-03-06,4.61,4.63,4.51,4.54,20165922.0
2025-03-07,4.63,4.68,4.58,4.64,20625112.0
2025-03-10,4.65,4.69,4.61,4.61,15623500.0
2025-03-11,4.66,4.66,4.57,4.6,10509739.0
2025-03-12,4.73,4.73,4.63,4.66,17744100.0
2025-03-13,4.81,4.81,4.68,4.72,23937300.0
